All 660 characters (least → most frequent) — TRAIN SET
      U+  repr           count       %  name
  U+1F6A2  '🚢'                1   0.00%  SHIP
  U+011B  'ě'                1   0.00%  LATIN SMALL LETTER E WITH CARON
  U+0158  'Ř'                1   0.00%  LATIN CAPITAL LETTER R WITH CARON
  U+010D  'č'                1   0.00%  LATIN SMALL LETTER C WITH CARON
  U+016F  'ů'                1   0.00%  LATIN SMALL LETTER U WITH RING ABOVE
  U+5143  '元'                1   0.00%  CJK UNIFIED IDEOGRAPH-5143
  U+05D7  'ח'                1   0.00%  HEBREW LETTER HET
  U+05E7  'ק'                1   0.00%  HEBREW LETTER QOF
  U+05D1  'ב'                1   0.00%  HEBREW LETTER BET
  U+05EA  'ת'                1   0.00%  HEBREW LETTER TAV
  U+25C6  '◆'                1   0.00%  BLACK DIAMOND
  U+06D2  'ے'                1   0.00%  ARABIC LETTER YEH BARREE
  U+00AC  '¬'                1   0.00%  NOT SIGN
  U+1F451  '👑'                1   0.00%  CROWN
  U+1F4B0  '💰'                1   0.00%  MONEY BAG
  U+1F48D  '💍'                1   0.00%  RING
  U+1F601  '😁'                1   0.00%  GRINNING FACE WITH SMILING EYES
  U+0416  'Ж'                1   0.00%  CYRILLIC CAPITAL LETTER ZHE
  U+0394  'Δ'                1   0.00%  GREEK CAPITAL LETTER DELTA
  U+0920  'ठ'                1   0.00%  DEVANAGARI LETTER TTHA
  U+092E  'म'                1   0.00%  DEVANAGARI LETTER MA
  U+0921  'ड'                1   0.00%  DEVANAGARI LETTER DDA
  U+094C  'ौ'                1   0.00%  DEVANAGARI VOWEL SIGN AU
  U+0928  'न'                1   0.00%  DEVANAGARI LETTER NA
  U+094D  '्'                1   0.00%  DEVANAGARI SIGN VIRAMA
  U+0924  'त'                1   0.00%  DEVANAGARI LETTER TA
  U+092A  'प'                1   0.00%  DEVANAGARI LETTER PA
  U+0941  'ु'                1   0.00%  DEVANAGARI VOWEL SIGN U
  U+0930  'र'                1   0.00%  DEVANAGARI LETTER RA
  U+092F  'य'                1   0.00%  DEVANAGARI LETTER YA
  U+00D1  'Ñ'                1   0.00%  LATIN CAPITAL LETTER N WITH TILDE
  U+00AD  '\xad'             1   0.00%  SOFT HYPHEN
  U+007D  '}'                1   0.00%  RIGHT CURLY BRACKET
  U+0414  'Д'                1   0.00%  CYRILLIC CAPITAL LETTER DE
  U+03C9  'ω'                1   0.00%  GREEK SMALL LETTER OMEGA
  U+B124  '네'                1   0.00%  HANGUL SYLLABLE NE
  U+B35C  '덜'                1   0.00%  HANGUL SYLLABLE DEOL
  U+B780  '란'                1   0.00%  HANGUL SYLLABLE RAN
  U+B4DC  '드'                1   0.00%  HANGUL SYLLABLE DEU
  U+00C8  'È'                1   0.00%  LATIN CAPITAL LETTER E WITH GRAVE
  U+00C0  'À'                1   0.00%  LATIN CAPITAL LETTER A WITH GRAVE
  U+0411  'Б'                1   0.00%  CYRILLIC CAPITAL LETTER BE
  U+BD80  '부'                1   0.00%  HANGUL SYLLABLE BU
  U+C0B0  '산'                1   0.00%  HANGUL SYLLABLE SAN
  U+AD11  '광'                1   0.00%  HANGUL SYLLABLE GWANG
  U+C5ED  '역'                1   0.00%  HANGUL SYLLABLE YEOG
  U+C2DC  '시'                1   0.00%  HANGUL SYLLABLE SI
  U+B798  '래'                1   0.00%  HANGUL SYLLABLE RAE
  U+AD6C  '구'                1   0.00%  HANGUL SYLLABLE GU
  U+B85C  '로'                1   0.00%  HANGUL SYLLABLE RO
  U+0E17  'ท'                1   0.00%  THAI CHARACTER THO THAHAN
  U+0E02  'ข'                1   0.00%  THAI CHARACTER KHO KHAI
  U+0E16  'ถ'                1   0.00%  THAI CHARACTER THO THUNG
  U+0E2B  'ห'                1   0.00%  THAI CHARACTER HO HIP
  U+0E2E  'ฮ'                1   0.00%  THAI CHARACTER HO NOKHUK
  U+0E22  'ย'                1   0.00%  THAI CHARACTER YO YAK
  U+0E0B  'ซ'                1   0.00%  THAI CHARACTER SO SO
  U+0E31  'ั'                1   0.00%  THAI CHARACTER MAI HAN-AKAT
  U+0E41  'แ'                1   0.00%  THAI CHARACTER SARA AE
  U+6238  '戸'                1   0.00%  CJK UNIFIED IDEOGRAPH-6238
  U+7530  '田'                1   0.00%  CJK UNIFIED IDEOGRAPH-7530
  U+5F66  '彦'                1   0.00%  CJK UNIFIED IDEOGRAPH-5F66
  U+5DE6  '左'                1   0.00%  CJK UNIFIED IDEOGRAPH-5DE6
  U+885B  '衛'                1   0.00%  CJK UNIFIED IDEOGRAPH-885B
  U+9580  '門'                1   0.00%  CJK UNIFIED IDEOGRAPH-9580
  U+0444  'ф'                1   0.00%  CYRILLIC SMALL LETTER EF
  U+0446  'ц'                1   0.00%  CYRILLIC SMALL LETTER TSE
  U+22D8  '⋘'                1   0.00%  VERY MUCH LESS-THAN
  U+22D9  '⋙'                1   0.00%  VERY MUCH GREATER-THAN
  U+30A1  'ァ'                1   0.00%  KATAKANA LETTER SMALL A
  U+30A4  'イ'                1   0.00%  KATAKANA LETTER I
  U+30D6  'ブ'                1   0.00%  KATAKANA LETTER BU
  U+2193  '↓'                1   0.00%  DOWNWARDS ARROW
  U+2419  '␙'                1   0.00%  SYMBOL FOR END OF MEDIUM
  U+2734  '✴'                1   0.00%  EIGHT POINTED BLACK STAR
  U+01CE  'ǎ'                1   0.00%  LATIN SMALL LETTER A WITH CARON
  U+06AF  'گ'                1   0.00%  ARABIC LETTER GAF
  U+0622  'آ'                1   0.00%  ARABIC LETTER ALEF WITH MADDA ABOVE
  U+063A  'غ'                1   0.00%  ARABIC LETTER GHAIN
  U+0637  'ط'                1   0.00%  ARABIC LETTER TAH
  U+0686  'چ'                1   0.00%  ARABIC LETTER TCHEH
  U+03C4  'τ'                1   0.00%  GREEK SMALL LETTER TAU
  U+0418  'И'                1   0.00%  CYRILLIC CAPITAL LETTER I
  U+0413  'Г'                1   0.00%  CYRILLIC CAPITAL LETTER GHE
  U+0629  'ة'                1   0.00%  ARABIC LETTER TEH MARBUTA
  U+1E62  'Ṣ'                1   0.00%  LATIN CAPITAL LETTER S WITH DOT BELOW
  U+1E6C  'Ṭ'                1   0.00%  LATIN CAPITAL LETTER T WITH DOT BELOW
